title, price, discount, link
Camiysn Typewriter Style Mechanical Gaming Keyboard/ Pink Retro Punk Gaming Keyboard with White Backlit/ 104 Keys Blue Switch Wired Cute Keyboard/ Round Keycaps for Windows/Mac/PC, $36.99, 20, amazon.com/Typewriter-Mechanical-Keyboard-Camiysn-Backlit/dp/B095YNKNXC/ref=sr_1_58?qid=1693317919&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-58
EasySMX Wired Gaming Controller/PC Game Controller Joystick with Dual-Vibration Turbo and Trigger Buttons for Windows PC/ PS3/ Android TV Box/Tesla(Black), $19.99, 15, amazon.com/Controller-EasySMX-Joystick-Dual-Vibration-Trigger/dp/B06XB6FRPR/ref=sr_1_59?qid=1693317919&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-59
BANIGIPA Bluetooth Headset with Boom Microphone/ Open Ear Headphones w/Noise Canceling Mic/ Wireless Headset for Phone Laptop PC Computer/ Light and Comfortable for Office Meeting Home Working-10 Hrs, $25.99, 10, amazon.com/BANIGIPA-Microphone-Headphones-Comfortable-Working-10/dp/B0C89LQTBZ/ref=sr_1_60?qid=1693317919&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-60
2.4Ghz Wireless Gaming Headset for PC/ PS5/ PS4/ MacBook/ with Microphone/ Over-Ear Bluetooth Gaming Headphones for Cell Phone/ Soft Earmuff - 40 Hours Playtime/ Only Wired Mode for Xbox Series, $29.99, 10, amazon.com/Wireless-Nintendo-Microphone-Bluetooth-Headphones/dp/B09P5BBPVY/ref=sr_1_61?qid=1693317919&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-61
JBL Quantum 200 - Wired Over-Ear Gaming Headphones - Black/ Large, $59.95, 42, amazon.com/JBL-Quantum-200-Over-Ear-Headphones/dp/B084CZX3T1/ref=sr_1_62?qid=1693317919&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-62
YOGES Handle Attachments Compatible with Oculus Quest 2 Controller Accessories/ VR Gorilla Tag Long Arms Beat Saber Dual Extension Grips Compatible with Meta Quest 2 Supernatural More VR Games, $22.98, 19, amazon.com/YOGES-Attachments-Compatible-Accessories-Supernatural/dp/B0BZNW6VQ1/ref=sr_1_63?qid=1693317919&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-63
RK ROYAL KLUDGE RK96 RGB Limited Ed/ 90% 96 Keys Wireless Triple Mode Bluetooth 5.0/2.4G/USB-C Hot Swappable Mechanical Keyboard w/Wrist Rest/ Software Support & Massive Battery/ RK Yellow Switch, $119.99, 42, amazon.com/RK-ROYAL-KLUDGE-RK96-Mechanical/dp/B0BQ732228/ref=sr_1_64?qid=1693317919&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-64
GEODMAER Wireless Keyboard and Mouse Combo with Phone Holder/ Wrist Rest/ Rechargeable Backlit Full Size Ergonomic Keyboard and Mouse Wireless/ Light Up Silent Keyboard and Mouse for PC/ Laptop/ Mac, $39.97, 13, amazon.com/GEODMAER-Wireless-Keyboard-Rechargeable-Ergonomic/dp/B0C76XS4G3/ref=sr_1_65?qid=1693317921&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-65
Saqico Battery Pack for Oculus Quest 2/ 5000mAh Head Strap Battery Pack Compatible with Oculus/Meta Quest 2 and Quest/ Lightweight and Portable VR Extend Power Accessories for Extra 2-4H Playtime, $19.98, 10, amazon.com/Saqico-Compatible-Lightweight-Portable-Accessories/dp/B09Z25C49T/ref=sr_1_66?qid=1693317921&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-66
Charger Stand with Cooling Fan for Xbox Series S Console and Controller/Vertical Dual Charging Dock Accessories with 2 x 1400mAh Rechargeable Battery and Cover/ Earphone Bracket for XSS, $44.99, 24, amazon.com/Controller-Vertical-Charging-Accessories-Rechargeable/dp/B096ZPYJK9/ref=sr_1_67?qid=1693317921&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-67
